Score,Review_title,Review_content,Date_of_travel,Bonus
10,Qantas gets worse day by day,"My husband and I returned home from Brisbane on QF 0937 on the 26th June. Bear in mind this is a 5 hour trip.

Firstly, the plane was so old and the seats so small that it is getting ridiculous. If anyone is slightly on the heavy side, it is uncomfortable for them and also for those having to sit next to them.

The aisle is so narrow that is is almost impossible for two people to pass each other especially if the plane is full, which our plane was, as they can't duck into a spare space to let the person pass. It's not OK for someone to rub themselves against you. No way!

The Customer Service Manager (Darren) in my opinion was out of line in regards to a couple of his comments.
Firstly, he told the passengers to be polite and respectful to each other. Seriously Qantas?
Then he told the passengers that if anyone abused the alcohol he would 'cut it off'.
I am absolutely sick to death of 'WOKE' and he needs to be advised by management that these sort of comments are outrageous and not necessary.

Lastly, Qantas continues to cut it's services every time you fly.
You no longer get the following:
1. The wet one to wipe your hands.
2. The cheese and cracker biscuit
3. The ice cream after lunch", June 2023,Legroom: 10 Seat comfort: 10 In-flight Entertainment: 10 Customer service: 10 Value for money: 10 Cleanliness: 10 Check-in and boarding: 10 Food and Beverage: 10
30,"Once proud, with great staff let down by on time record",I travel regularly domestically for business and while airlines are struggling to recover from Covid. Qantas¡¯s issues go deeper than that. Under the leadership of Alan Joyce the airline has slipped from number one in the world for safety to number 17. The fleet has never been older and basic maintenance issues continue to plague departure and arrival times. The staff do need to be acknowledged for continuing under trying times to retain the high qantas professionalism. How Joyce can hold his head up is beyond me as the incoming CEO will have significant work to restore the brand, July 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
20,$3K+ golfclubs left in another country,If you're expecting your bags to arrive with you I would definitely not use Qantas. The whole experience from check-in to baggage collection has been average. Some staff members are lovely but by and large my experience was terrible. Won't fly with again., June 2023,Legroom: 20 Seat comfort: 20 In-flight Entertainment: 50 Customer service: 40 Value for money: 40 Cleanliness: 30 Check-in and boarding: 20 Food and Beverage: 30
20,QANTAS PREMIUM ECONOMY DISAPPOINTING,"I have enjoyed several flights on QANTAS paying the extra for Premium Economy - choosing my seat. However, if latter (viz seating plan) is unavailable & 'they' ignore your preference I would strongly advise the additional expense ! The middle bank definitely not worth additional cost.", June 2023,Legroom: 20 Seat comfort: 20 In-flight Entertainment: 30 Customer service: 40 Value for money: 10 Cleanliness: 20 Check-in and boarding: 30 Food and Beverage: 30
10,Qantas airlines :(,What a show Qantas put on today. Transfer from international to domestic. How do international travellers cope. First a bus line to find you get a taxi voucher to then wait in a longer queue. Ended up getting train. Feel sorry for staff...how much profit did they make. Not happy..Qantas lift your game, June 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Horror story,"Still waiting for my promised refund 3 years later. Have wasted soooo much time, had my safety endangered by being turfed out of the airport in the middle of the night after the Qantas flight was delayed 7 hours (they made no provisions for us whatsoever), seat was filthy, staff were rude and unhelpful (gave me wipes so I could clean it myself), old caked on food was stuck to tray and on TV screen (had to request more wipes), were served food worse than in economy (if that's even possible, I hate to think what they got since we got partially cooked rice, mystery meat mush (mostly gristle), a cube of cheese and a stale bread roll, and... the list goes on. I need a book for the rest. Will never EVER out of principle travel with Qantas again. Even if they offer cheap flights. Most un-Australian company ever. They were at the top of their game once upon a time... so sad (if they were in dire straits I could understand but instead they are boasting about record profits. Plus they weresupported with my taxpayer dollars).", July 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Sons first flight....... won't use qantas again,1hour + delays on both to and from flights. Ipads don't work. Was my sons first time on a plane and despite picking windows seats both times they changed my seats without warning to the middle. Worst than a budget airline experience with a premium price tag. Strongly suggest virgin or Jetstar. Won't bother with qantas and before this experience I thought they were the best airline., June 2023,Legroom: 20 Seat comfort: 20 In-flight Entertainment: 10 Customer service: 10 Value for money: 10 Cleanliness: 30 Check-in and boarding: 10 Food and Beverage: 10
20,Apparently we are babies,Eh ok BUT THEY TREAT YOU LIKE WORTH LESS Babies THAT NEED TO BE TALKED TO WORD BY WORD SLOLEY IN A BABY VOICE WE ARE HUMANS TALK TO US Normally AND NOT LIKE A BABEY, June 2023,Legroom: 50 Seat comfort: 30 In-flight Entertainment: 20 Customer service: 10 Value for money: 10 Cleanliness: 30 Check-in and boarding: 50 Food and Beverage: 20
10,Qantas useless and a big rip off,Qantas is THE worst airline you could ever book with - flights delayed by many hours - filthy planes / no customer service at all - no one cares and you¡¯ll pay $1300 for a 1.5 hour flight in economy ! A massive rip off airline snd a disgrace Shane on you qantas, June 2023,Legroom: 10 Seat comfort: 10 In-flight Entertainment: 10 Customer service: 10 Value for money: 10 Cleanliness: 10 Check-in and boarding: 10 Food and Beverage: 10
50,Amazing ground staff at Sydney airport - thankyou.,"The thing worth noting and reviewing is the incredible treatment I received after arriving at Sydney airport after being delayed and missing my connecting flight. A single female traveller arriving late at night the staff were friendly and helpful with Zac greeting me with a smile and giving me resources to get me through (transport, accomodation and information) until my rebooked flight the following day - very grateful.", June 2023,Legroom: 50 Seat comfort: 50 In-flight Entertainment: 50 Customer service: 50 Value for money: 50 Cleanliness: 50 Check-in and boarding: 50 Food and Beverage: null
10,Qantas and the same rubbish as Jetstar now days!!!,Pathetic 5 hour wait at the airport late in the night to say they had a motor problems to then hear that they were so late to take off that Tokyo international airport was closed for Qantas WARNING DONT FLY WITH THEM THEY ARE THE SAME AS JETSTAR RUBBISH!! Honestly!, May 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
50,5 star review for Alliance Airlines staff operating QF1997,"This Qantas flight between Cairns and Uluru was operated by Alliance Airlines. It left on time (1.10pm) and arrived on time (28 June 2023). FlightRadar24 shows consistent on time performance for the past week. My recent flights on another airline 4 weeks earlier were 90 mins and 60 mins delayed, so I appreciated the on time performance. The Fokker 100, with an all economy, 2 x 3 seat configuration, is not the newest kid on the block, but it¡¯s reliable. The Alliance cabin crew were exceptional, so a big shout out to Jayden and Mosi (apologies if I¡¯ve mis-spelt your names!). Professional, engaging and clearly loving their jobs. About a 3 hour flight , with a pre-packaged ham and Bavarian mustard sandwich, or fresh fruit, served with juice, wine, tea/coffee and water. A second round of drinks were offered after the meal service, which was appreciated - no need to use the cabin crew call button. Not much to see at 34,000 feet as the unseasonal rain and extensive cloud band covering central Australia obscured the ground view. Smooth flight, with minimal bumps as we descended through the cloud cover prior to landing at Ayers Rock Airport, so thanks to the flight crew. The Fokker 100 may be old, but it sure beats the hell out of a Dash 8 turbo-prop that Qantas uses on many of its regional routes. I¡¯d fly with Alliance Airlines anytime.", June 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
40,Relaible and full service,"We flew from Sydney to Brisbane.

Flight was uneventful and we arrived ontime.

Crew were friendly and a snack and drink included in the price of a ticket.", April 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Terrible treatment,"I had booked and paid for 2 business class tickets in Dec 22 (using points plus pay). Boarding passes for myself and my sister were issued at luggage check-in. Upon arrival to business class lounge we were called up and told that only one of us could fly business, I requested to speak to a supervisor. I was put on to Karen (by phone). Karen gave me several reasons, all unsatisfactory but apologised and assured me that the points and funds difference would be credited to my account. She further said by way of compensation she would offer me a $500 credit for the inconvenience. I enquired if this was to be cash, she said no it was a credit to be used towards flights only.
Karen also subsequently met me at the gate before boarding and reiterated same.

I was so distressed and affected by this bad start to my special Christmas gift holiday to my sister, that I ended up having to go to the hospital in Singapore. and I was very ill for the first 2 days of our 10 day trip All of which can be evidenced. I am not seeking compensation for this aspect but it should be known so that you have a complete picture of what occurred and the knock on effect.

Qantas have shunted me from one department to another. First Customer Service (who apparently have no phone number), then Reservations Dept, then Frequent Flyer loyalty program. Each department tells me it is not under their purvue and that I need evidence of what Karen offered. I was told to go to the airport (a 4+ hour round trip for me) and to try to locate Karen at the airport. I explained that I would not be able to get to the business class lounge without a ticket and clearing customs - that Karen may not be working that day and that there may be many Karen's who work for qantas. I was told I should have taken a reference number for the offer made by Karen. Well I did not realise I needed to make a recording or get an affidavit from her on the day as I took her at face value, assumed (and still do believe) that she made this offer in good faith. I am now told after wasting days /weeks on this that the complaint has been closed. I was not advised of this via email and no explanation given, they just decided to close it. Astonishing! Now when I make an enquiry I keep getting replies stating the reference number does not exist, presumably because they unilaterally decided to close it.

Qantas need to honour their promise and obligation. ie
1. The correct amount of Frequent flyer loyalty points to be returned to my account (some points have been reinstated and then removed and I am querying the actual amount is correct).
2. For the compensation amount of $500 (for use towards flights ) to be added to my account as promised.", June 2023,Legroom: 30 Seat comfort: 10 In-flight Entertainment: 40 Customer service: 10 Value for money: 10 Cleanliness: 40 Check-in and boarding: 10 Food and Beverage: 10
10,Absolutely rude service,"My review relates to Flight QF1043 from Broome to Sydney on 30 June 2022 & concerns the flight attendant, David Crandel (if this is his name?), in the Business Class cabin where I was seated in 1A. Let me recount in detail the unacceptable experience I suffered on your flight at the hands of this employee.

I boarded this flight, which had been delayed, and sat in my allocated seat. As it happened, the woman seated next to me (I thought it was to be empty, according to the seat booking) had already taken up all the space in the overhead locker above, so the female flight attendant had to help me find some space in another locker, as I was sitting in Row 1 where no floor luggage is allowed. I will come back to this later. I note there is no priority boarding for Business Class at Broome airport, so my embarkation took a much longer time than usual when travelling Business Class (where I note, airline companies make most of their money, even domestically).

The aircraft departed and soon after (as I was seated in 1A) Mr Crandel came and asked me what meal I would prefer, the beef or chicken. I responded that I was vegetarian. He became indignant and asked me had I specifically requested a vegetarian meal. I said that this option had not been available in the online booking app where I had bought this flight ticket, but that my Qantas profile had this detail (you can check). He said, in a condescending tone, that he would see what he could do, and said that there might be an omelette available in the Economy cabin. I responded politely that that would be fine, as I am not vegan. He then asked me would I like to have a drink in the meantime, and I responded in the affirmative. He brought me a small bottle of the Grant Burge.

I then waited over 35 minutes while he fed & wined the other 11 passengers in the Business Class cabin. He did not speak to me at all during this time. He went back to the galley and was pulling drawers in and out, so I got out of my seat and approached him, and again politely asked if he¡¯d had any luck in acquiring a meal for me. He appeared to be annoyed, and said he¡¯s been very busy and that he hadn¡¯t had time to chase up my particular needs. I asked him for his name and he refused to provide it and he appeared to have no name tag. I told him he¡¯d only provided alcohol for me, at which point he grabbed the half empty bottle of Grant Burgeons from my tray. I then said that I¡¯d paid over $2000 for this flight, and that angry mood further escalated and he shouted at me that I was bullying him and he would call the Federal Police and have me escorted off the plane and charged. when I asked (facetiously) what I would be charged with? He said bullying him. I repeated, that in fact he was bullying me and at fault with depriving me of a meal and only plying me with alcohol and that he would be reprimanded for wasting the time of the Federal Police. He then became extremely aggressive and ordered me back to my seat. I then said I wanted to speak to the Captain to First Officer, at which point he shouted, ¡°They won¡¯t see you!¡± and again threatened me with calling the Federal Police.

At this point in the commotion, another flight attendant appeared, ¡°Libby¡± - I think the senior flight attendant from the Economy Cabin. She told me his name, after I asked her repeatedly, and she asked him to provide me with a chicken meal so I could pick off the chicken and eat the vegetables, and the cheese etc., which he begrudgingly did. Libby brought me a glass of Chardonnay and tried her best to calm the situation, but said she did not want to get involved or give me her surname.

Coming in to land, after the seat belt sign came on, Mr Crandel did not take my bags on the floor at my feet, which I thought was mandatory in Row 1 when landing? WHS?

The whole experience of encountering such a rude and unbalanced flight attendant as Mr Crandel, was completely unacceptable. I have written multiple emails to Qantas without ever receiving a response to my complaint", July 2022,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
20,Shame on you qantas.you are a good name for bad product.,Terrible food . No games no music selection on entertainment .not all passengers watch movies. Me and my wife always listen to music on our flights.i don't think it is that hard to include it., May 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
50,Best Long Haul Flight,"This was one of the best long haul flights I have had.
The crew were attentive and fun.
Nothing was a bother, even though there were many babies.
I think I slept better because the whole feeling in the plane was relaxed.
Well done team.", June 2023,Legroom: 50 Seat comfort: 50 In-flight Entertainment: 50 Customer service: 50 Value for money: 50 Cleanliness: 50 Check-in and boarding: 50 Food and Beverage: 50
10,Fly another airline if you can!!!,"Qantas completely messed up my family holiday by cancelling my entire booking not once but twice. No explanation, no apology. Just sent me around in circles. Loss of over 400,000 points on accommodation that they won't refund. They just ignore customer complaints.", June 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
30,"Flight not bad, booking a total mess","I recently flew to London from Australia and spent time deciding the best option, as it happens I booked from Whyalla to Adelaide then to Perth then direct to London. Of course within a few weeks of booking (back in February) my itinerary was changed. Turns out I had to book the Whyalla to Adelaide with another carrier for $150 whilst my dear friends at Qantas offered me a ""refund""of $62 since reduced to $54. Qantas cancelled the connecting flight
I rang on four occasions before I left to chase my money and each time I rang I got a different answer.The last time Qantas said you have to complete all the flights (which included Zurich back to Australia) before you can get a refund. So I get home and 10 days after the refund had supposedly gone through low and behold still no money, isn't that a surprise. To add insult to injury when you ring Qantas a recorded message comes on to say 90% of refunds are put through within a week. Pull the other one they must think we all came down with the last shower.
What does make you wonder is the time taken to take the money off you online when you make a booking is about 30 seconds but not quite the same the other way. It is high time some legal body investigated these deplorable actions.", June 2023,Legroom: 20 Seat comfort: 30 In-flight Entertainment: 40 Customer service: 10 Value for money: 20 Cleanliness: 30 Check-in and boarding: 30 Food and Beverage: 30
20,Business Class trip CBR to BNE,"The overall Qantas business product is not where it previously was. Having taken the same flight down with Virgin Business it is interesting comparing the two products, Virgin was overall a better product.
Qantas check in, at Canberra (CBR) could not even see dedicated business check in and used the general boarding machines. Qantas lounge is comfortable but no dedicated business lounge in CBR just one shared with Qantas Club. At time of boarding, they just called the flight so no priority for business or premium FF members. On the plane we were only offered water prior to the flight. The plane was comfortable, and the seating was good. The meal was good overall, but we were not offered any re-fills or a second beverage. Basically, the attendant seemed to be looking at herself in her phone screen over providing service. Following service my empty water bottle and napkin clearly was visible in the front seat pocked but was never cleaned up, even though there was plenty of time on completion of the lunch service. Finally, the bags well again no business priority, the bag came out amongst all the general baggage. Being a premium FF, the premium baggage service has been nonexistent since Qantas moved to contractors.", June 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Not professional business - Waste of money,"Due to COVID-19 booking was credited in Qantas Pass, some of that credit was used when booked for one way flight from Gold Coast to Sydney Qantas booking reference is 6Z55B2. Due to the queue at the counter, I was 3min late at Gold Coast Airport for baggage tag as the check in was already done. I was told that the system has been closed and they cannot serve me and I have to book for another flight. I had to look for another flight somewhere else as the rate was high in Qantas. I travelled with my family including 16months baby and had to stay for 3hrs plus to wait for the flight. This is affected me extremely mentally and financially since covid-19. Another extreme unhappy experience.", June 2023,Legroom: 10 Seat comfort: 10 In-flight Entertainment: 10 Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
30,Rebooked from a cancelled Jetstar flight - was certainly not the upgrade we'd hoped,"So, Jetstar cancelled our booked flight, but after some slight issues got us on to this flight. Yay, we thought. We were homeward bound. Not without some chaos. First, the flight was delayed for 20 minutes. Fine, no big deal. Then, it was delayed another 20 minutes which was slightly irritating, especially since there was no explanations/apologies/staff to contact until the pilot made an announcement after take-off. But, then they changed the gate at the last minute and made all passengers travel to the other side of the terminal. They then announced on the plane that the catering on-board was limited in order to prevent further delays - I appreciate this is a no-win situation and passengers will be unhappy whatever happens, but this just seemed like the cherry on top.

The crew was kind enough and did their best with the hand that we were dealt, but was still not pleasant. A lot of disgruntled and tired passengers. Oh, and we paid for extra legroom seats with Jetstar, and weren't able to get them on Qantas. Understandable, but still another irritation. Have submitted a refund request and will see how that goes (Ha! I think we all know what to expect of Jetstar, frankly)", June 2023,Legroom: 20 Seat comfort: 30 In-flight Entertainment: 30 Customer service: 30 Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Worst airline,My mom was ment to fly back to SA on the 24th of June. The original flight from Sydney to Johannesburg was delayed by 7hours. This was after she had a 14-hour layover because Sydney airport does not stay open at night. The flight was then canceled a few hours before the flight. They rebooked it for the NEXT DAY (26th of June) AT 22:00PM. She had to be there for 48hours! If they managed it properly and made the cancelations earlier then my mom would have been able to spend 2 extra days with us. They have no proper communication. No transparency and we wont be flying with Qantas ever again. I wont recommend them anymore to friends or family., May 2023,Legroom: 30 Seat comfort: 30 In-flight Entertainment: 30 Customer service: 40 Value for money: 10 Cleanliness: 30 Check-in and boarding: 10 Food and Beverage: 30
40,A fantastic First Class lounge at LAX.,"We spent almost 2 hours in the First Class Qantas lounge at LAX, and it was wonderful.
The service and the food were all great and the relaxed atmosphere was awesome.", April 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
50,Brilliant service on the Flying Kangaroo,It has been a very tough few years for the airline industry and I am an a avid traveller and decided to try the Perth to London direct route on Qantas. Qantas has been getting a bad rap lately so I thought I would share what a great experience I encountered. Service from checkin to onboard was excellent. The flight attendents we had were happy and always willing to help. The food and drinks were of an excellent standard as was the entertainment. Would I fly them again? Absolutely. Their safety standard speaks for itself. I love Qantas and as a proud Australian its like being at home when you step onboard!, May 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
50,A great flight,It is a long time since I have given Qantas 5 stars but in this case it was deserved. The flight left early and landed early. We got a hot panini and a wine on board. The flight had free Wifi. The baggage came off fast in Hobart. The on board staff are average as is often the case with Qantas but this was a great flight., June 2023,Legroom: 40 Seat comfort: 40 In-flight Entertainment: 50 Customer service: 30 Value for money: 30 Cleanliness: 40 Check-in and boarding: 50 Food and Beverage: 50
10,Worst refund/cancellation policy ever,"Read the small print for all refund/cancellation policies. Said I could get a full refund in quantas credit for my flights of $3050. I took this option as the new flights I wanted to book were $2271. However, when you use your credit, it forces you to book flights at a DIFFERENT price to the normal price advertised. It ended up charging me an EXTRA $550. So Auckland to Sydney return total of $3600, when the normal online price was $2271. This was not obvious to me when I chose qantas credit and is obviously in the small print. Will never fly Qantas again.", June 2023,Legroom: 10 Seat comfort: 10 In-flight Entertainment: 10 Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Do not use Qantas if you need any support,"Qantas are not good at helping any families with any issues and have the worst customer service
So many other airlines have much better service", June 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
